time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
14506,67584,,,4,66,,,0.00678301,1.5042208673606005e-06,0.04794921875,650,-1.2122382178902626,0.0003,-0.00019912874995497987,0.021410834044218063,0.2,-0.02588343620300293,0.004317037037037037,2498.296296296296,,
14611,68608,,,4,67,,,0.011398808,2.690580129857678e-06,0.07939453125,660,-1.1946198545396327,0.0003,-0.003520189550181385,0.030934391543269157,0.2,0.256216824054718,0.004317037037037037,2498.296296296296,,
14718,69632,,,4,68,,,0.0060085543,1.4600735080180783e-06,0.0634765625,670,-1.1912263870239257,0.0003,-0.005806506471708417,-0.021687570959329605,0.2,0.6096192300319672,0.004317037037037037,2498.296296296296,,
,70000,,,,,,,0.014261618,7.86885853386321e-09,0.047265625,680,-1.089591957628727,0.0003,-0.003416862430458423,-0.022442398592829704,0.2,0.5531429052352905,,,0.0,2500.0
16084,70656,,,4,69,,,,,,,,,,,,,0.004162857142857143,2498.3571428571427,,
16188,71680,,,4,70,,,0.0062769884,8.354923505468625e-09,0.05087890625,690,-0.9628543715924025,0.0003,-0.003063324189861305,-0.014894174411892891,0.2,-0.20656609535217285,0.004162857142857143,2498.3571428571427,,
16293,72704,,,4,71,,,0.0038714306,8.602037313530653e-08,0.05634765625,700,-0.9809326030313968,0.0003,-0.0032358888725866563,-0.01429950911551714,0.2,0.29016387462615967,0.0040193103448275865,2498.4137931034484,,
16397,73728,,,4,72,,,0.0039012579,5.726440658120092e-05,0.0234375,710,-0.9696109406650066,0.0003,-0.0008667431364301592,0.01418465655297041,0.2,0.404596745967865,0.0040193103448275865,2498.4137931034484,,
16502,74752,,,4,73,,,0.006371706,6.686628461066713e-05,0.1484375,720,-1.0765138421207667,0.0003,-0.0006621616805205122,0.024330466985702515,0.2,-0.05495750904083252,0.0040193103448275865,2498.4137931034484,,
16606,75776,,,4,74,,,0.00742496,8.26088903232991e-07,0.0884765625,730,-1.1158204026520253,0.0003,-0.0019523769587976858,0.02445697784423828,0.2,0.07368826866149902,0.003885333333333333,2498.4666666666667,,
16710,76800,,,4,75,,,0.013473415,1.0029611921646975e-06,0.058203125,740,-1.041551548242569,0.0003,-0.0044807743950514125,-0.01993500627577305,0.2,-0.06672418117523193,0.003885333333333333,2498.4666666666667,,
16815,77824,,,4,76,,,0.007955354,3.9972219918332775e-07,0.1056640625,750,-1.1257458247244359,0.0003,-0.000824302842374891,0.048744648694992065,0.2,0.022017717361450195,0.00376,2498.516129032258,,
16919,78848,,,4,77,,,0.008900166,8.203027419217967e-07,0.1322265625,760,-1.2129377834498882,0.0003,-0.005875096350791864,-0.010619915090501308,0.2,0.11961966753005981,0.00376,2498.516129032258,,
